State,Combined_Emissions_Cluster,Fossil_CO2_Cluster,CH4_AR5_Cluster,N2O_AR5_Cluster,FGases_AR5_Cluster
Alabama,2,0,3,2,1
Alaska,2,1,0,0,1
Arizona,2,1,0,0,1
Arkansas,2,0,0,2,1
California,0,2,0,2,2
Colorado,2,1,3,0,1
Connecticut,2,1,0,0,1
Delaware,2,1,0,0,1
District Of Columbia,2,1,0,0,1
Florida,2,0,0,2,0
Georgia,2,0,0,1,0
Hawaii,2,1,0,0,1
Idaho,2,1,0,0,1
Illinois,0,0,3,0,0
Indiana,0,2,0,0,0
Iowa,2,0,0,1,1
Kansas,2,1,0,0,1
Kentucky,2,1,3,0,1
Louisiana,0,2,3,1,1
Maine,2,1,0,0,1
Maryland,2,1,0,0,1
Massachusetts,2,1,0,0,1
Michigan,2,0,0,0,0
Minnesota,2,1,0,0,1
Mississippi,0,2,0,2,1
Missouri,2,1,0,2,1
Montana,2,1,3,0,1
Nebraska,2,1,0,0,1
Nevada,2,1,0,0,1
New Hampshire,2,1,0,0,1
New Jersey,2,1,0,0,0
New Mexico,2,1,2,0,1
New York,2,1,0,0,0
North Carolina,2,1,0,0,0
North Dakota,0,0,1,1,1
Ohio,0,0,3,0,0
Oklahoma,2,0,3,1,1
Oregon,2,1,0,0,1
Pennsylvania,0,0,2,0,0
Rhode Island,2,1,0,0,1
South Carolina,2,1,0,0,1
South Dakota,2,1,0,0,1
Tennessee,2,1,0,0,0
Texas,1,2,1,1,2
Utah,2,1,3,0,1
Vermont,2,1,0,0,1
Virginia,2,1,3,2,0
Washington,2,0,0,0,0
West Virginia,2,1,2,0,1
Wisconsin,2,1,0,0,0
Wyoming,2,1,2,0,1
